YEAR,ST,STATE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,OTHER,TOTAL,TRANSPORTATION,,,
1994,LA,Louisiana,"22,628,608","15,040,772","29,869,645","2,592,779","70,131,807",0,,,
1994,MA,Massachusetts,"16,048,967","19,371,255","9,710,222","960,912","46,091,354",0,,,
1994,MD,Maryland,"21,666,119","13,253,588","19,037,490","794,428","54,751,623",0,,,
1994,ME,Maine,"3,691,829","2,811,592","4,951,831","150,565","11,605,816",0,,,
1994,MI,Michigan,"27,174,208","30,411,629","32,716,793","857,353","91,159,986",0,,,
1994,MN,Minnesota,"16,006,558","8,996,867","25,450,840","700,841","51,155,107",0,,,
1994,MO,Missouri,"24,056,902","20,613,574","14,106,043","916,241","59,692,757",0,,,
1994,MS,Mississippi,"13,641,721","7,093,799","15,255,934","635,116","36,626,568",0,,,
1994,MT,Montana,"3,566,916","3,096,032","5,960,540","560,647","13,184,135",0,,,
1994,NC,North Carolina,"37,206,781","27,457,860","33,307,131","1,817,410","99,789,183",0,,,
1994,ND,North Dakota,"3,242,829","1,884,263","2,011,279","542,392","7,680,764",0,,,
1994,NE,Nebraska,"7,379,417","5,808,823","5,344,840","1,340,066","19,873,148",0,,,
1994,NH,New Hampshire,"3,430,561","3,220,993","2,182,353","122,315","8,956,222",0,,,
1994,NJ,New Jersey,"22,153,556","29,357,664","14,251,230","495,142","66,257,593",0,,,
1994,NM,New Mexico,"4,079,695","4,969,552","5,184,192","1,625,353","15,858,796",0,,,
1994,NV,Nevada,"6,844,708","4,611,836","7,774,863","804,864","20,036,272",0,,,
1994,NY,New York,"40,104,843","48,827,584","29,466,763","12,777,381","131,176,572",0,,,
1994,OH,Ohio,"41,791,275","34,053,065","74,010,056","4,522,313","154,376,708",0,,,
1994,OK,Oklahoma,"16,127,875","11,120,786","11,721,408","2,173,375","41,143,442",0,,,
1994,OR,Oregon,"16,462,154","12,659,576","15,071,945","777,067","44,970,741",0,,,
1994,PA,Pennsylvania,"42,238,894","33,394,879","46,075,599","1,335,680","123,045,051",0,,,
1994,RI,Rhode Island,"2,456,724","2,562,932","1,378,453","173,738","6,571,847",0,,,
1994,SC,South Carolina,"19,903,089","13,392,962","27,760,264","801,643","61,857,958",0,,,
1994,SD,South Dakota,"3,147,028","1,919,412","1,762,096","345,520","7,174,053",0,,,
1994,TN,Tennessee,"32,796,717","5,153,895","43,614,203","968,478","82,533,292",0,,,
1994,TX,Texas,"89,792,702","66,467,120","90,329,333","11,590,582","258,179,736",0,,,
1994,UT,Utah,"5,008,939","5,499,542","6,497,935","840,648","17,847,063",0,,,
1994,VA,Virginia,"32,343,035","22,947,823","18,153,520","8,765,759","82,210,138",0,,,
1994,VT,Vermont,"2,009,428","1,586,168","1,434,727","36,180","5,066,503",0,,,
1994,WA,Washington,"29,672,859","19,752,440","34,065,132","3,642,968","87,133,397",0,,,
1994,WI,Wisconsin,"17,660,151","14,377,867","22,714,163","659,430","55,411,611",0,,,
1994,WV,West Virginia,"8,662,895","5,539,454","10,481,536","91,823","24,775,708",0,,,
1994,WY,Wyoming,"1,864,919","2,427,844","7,259,549","144,068","11,696,380",0,,,
1994,US,United States,"1,008,481,693","820,269,465","1,007,981,238","97,830,476","2,934,562,867",0,,,
1995,AK,Alaska,"1,712,904","2,200,043","546,439","172,445","4,631,831",0,,,
1995,AL,Alabama,"24,313,900","12,284,264","32,847,460","561,140","70,006,764",0,,,
1995,AR,Arkansas,"12,416,959","7,146,835","14,483,009","624,631","34,671,434",0,,,
1995,AZ,Arizona,"18,035,537","16,289,624","11,991,782","2,272,025","48,588,968",0,,,
1995,CA,California,"68,782,854","80,874,224","57,367,162","5,580,484","212,604,724",0,,,
1995,CO,Colorado,"11,306,705","13,419,624","9,706,459","884,032","35,316,820",0,,,
1995,CT,Connecticut,"10,759,879","10,926,399","5,913,392","370,298","27,969,968",0,,,
1995,DC,District of Columbia,"1,608,442","8,079,035","262,118","365,975","10,315,570",0,,,
1995,DE,Delaware,"3,168,325","2,842,288","3,511,084","57,837","9,579,534",0,,,
1995,FL,Florida,"85,769,777","60,078,878","16,472,744","5,170,741","167,492,140",0,,,
1995,GA,Georgia,"35,812,315","27,741,055","31,493,470","1,145,330","96,192,170",0,,,
1995,HI,Hawaii,"2,606,283","2,721,153","3,802,685","57,493","9,187,607",0,,,
1995,IA,Iowa,"11,639,680","7,606,591","13,771,043","1,283,605","34,300,919",0,,,
1995,ID,Idaho,"6,193,159","5,291,053","7,843,134","292,500","19,619,846",0,,,
1995,IL,Illinois,"38,386,138","37,217,396","42,250,819","8,376,711","126,231,064",0,,,
1995,IN,Indiana,"26,560,115","18,123,180","41,776,936","545,725","87,005,956",0,,,
1995,KS,Kansas,"10,355,800","10,273,411","9,356,007","371,663","30,356,881",0,,,
1995,KY,Kentucky,"20,537,146","10,524,270","40,490,215","2,996,567","74,548,198",0,,,
1995,LA,Louisiana,"24,116,406","15,575,389","30,691,822","2,443,574","72,827,191",0,,,
1995,MA,Massachusetts,"15,992,796","19,893,756","10,026,006","597,725","46,510,283",0,,,
1995,MD,Maryland,"22,233,807","23,096,405","10,057,219","770,615","56,158,046",0,,,
1995,ME,Maine,"3,628,880","2,835,159","4,959,344","137,916","11,561,299",0,,,
1995,MI,Michigan,"28,622,896","31,305,836","33,920,578","851,823","94,701,133",0,,,
1995,MN,Minnesota,"16,974,434","9,699,906","26,577,060","707,370","53,958,770",0,,,
1995,MO,Missouri,"25,408,756","21,606,492","14,320,599","923,119","62,258,966",0,,,
1995,MS,Mississippi,"14,181,239","7,539,404","15,477,114","670,724","37,868,481",0,,,
1995,MT,Montana,"3,639,878","3,133,253","6,367,703","277,689","13,418,523",0,,,
1995,NC,North Carolina,"39,506,250","29,194,750","34,062,921","1,908,835","104,672,756",0,,,
1995,ND,North Dakota,"3,383,622","2,237,222","1,771,327","490,463","7,882,634",0,,,
1995,NE,Nebraska,"7,596,718","5,986,220","5,801,510","1,508,026","20,892,476",0,,,
1995,NH,New Hampshire,"3,364,429","3,225,629","2,286,336","130,964","9,007,358",0,,,
1995,NJ,New Jersey,"22,469,706","29,791,577","13,988,821","503,679","66,753,783",0,,,
1995,NM,New Mexico,"4,124,028","5,094,370","5,650,560","1,546,590","16,415,548",0,,,
1995,NV,Nevada,"6,655,121","4,731,451","8,495,717","777,109","20,659,398",0,,,
1995,NY,New York,"39,887,485","52,751,200","25,317,222","12,514,809","130,470,716",0,,,
1995,OH,Ohio,"44,010,399","35,549,249","74,473,401","4,592,497","158,625,546",0,,,
1995,OK,Oklahoma,"16,319,160","11,114,526","11,714,291","2,244,472","41,392,449",0,,,
1995,OR,Oregon,"16,314,687","12,899,707","15,839,122","671,792","45,725,308",0,,,
1995,PA,Pennsylvania,"42,801,878","34,543,587","47,527,881","1,377,251","126,250,597",0,,,
