,latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
1282,44.6172,-75.4042,Heuvelton,0.8,hydro,0.8,hydro,TRUE,New York
1283,43.4436,-76.4961,High Dam,8.8,hydro,8.8,hydro,TRUE,New York
1284,43.9247,-75.3731,High Falls,3.6,hydro,3.6,hydro,TRUE,New York
1285,44.5306,-74.9331,Higley,6.3,hydro,6.3,hydro,TRUE,New York
1286,43.170948,-78.691551,Hydraulic Race,3,hydro,3,hydro,TRUE,New York
1287,43.061017,-74.764347,Inghams,6.2,hydro,6.2,hydro,TRUE,New York
1288,42.920374,-73.508886,Johnsonville,2.5,hydro,2.5,hydro,TRUE,New York
1289,44.0117,-75.7967,Kamargo,4.8,hydro,4.8,hydro,TRUE,New York
1290,43.524103,-75.970318,Lighthouse Hill,7.6,hydro,7.6,hydro,TRUE,New York
1291,44.877326,-74.306288,Macomb,0.9,hydro,0.9,hydro,TRUE,New York
1292,43.4003,-76.4739,Minetto,6.9,hydro,6.9,hydro,TRUE,New York
1293,43.8719,-75.1364,Moshier,7.5,hydro,7.5,hydro,TRUE,New York
1294,43.5211,-76.41,Nine Mile Point Nuclear Station,1924.1,nuclear,1924.1,nuclear,FALSE,New York
